date,000852.SH_动量_120日
2021-03-04,-11.351508534255771
2021-03-05,-11.224905430629772
2021-03-08,-11.99204474145159
2021-03-09,-14.700734059134446
2021-03-10,-13.871658796069397
2021-03-11,-12.437168333432759
2021-03-12,-9.55455258969623
2021-03-15,-6.876084667124649
2021-03-16,-7.54363570276465
2021-03-17,-8.334510987786182
2021-03-18,-8.467526482050115
2021-03-19,-8.25046384354179
2021-03-22,-6.821125342197487
2021-03-23,-9.246573247078205
2021-03-24,-10.551505316051834
2021-03-25,-9.17085462156405
2021-03-26,-8.183402641321747
2021-03-29,-5.221491741955586
2021-03-30,-5.016344686230778
2021-03-31,-3.923087446265816
2021-04-01,-4.308095972414683
2021-04-02,-3.867327528354425
2021-04-06,-5.875937708226009
2021-04-07,-8.719294994043224
2021-04-08,-9.211150739627216
2021-04-09,-8.429249534073946
2021-04-12,-9.577910073995877
2021-04-13,-9.77716384698497
2021-04-14,-7.848653754592316
2021-04-15,-9.053026408674537
2021-04-16,-6.54791964094753
2021-04-19,-4.347721176295149
2021-04-20,-2.7660095512205607
2021-04-21,-2.8699059535195803
2021-04-22,-2.9528662883991807
2021-04-23,-3.472125722971564
2021-04-26,-3.6503719687010383
2021-04-27,-1.693297900209123
2021-04-28,-1.1750628413163877
2021-04-29,-3.647528610057049
2021-04-30,-3.777443158666638
2021-05-06,-5.277790751803546
2021-05-07,-5.50796831228868
2021-05-10,-7.492865496434209
2021-05-11,-6.425674424186479
2021-05-12,-3.652512493451876
2021-05-13,-4.514500499137131
2021-05-14,-3.348815376689074
2021-05-17,-4.305599571890761
2021-05-18,-2.9169405605745324
2021-05-19,-2.8909352306619507
2021-05-20,-3.5070903618928506
2021-05-21,-4.2223447455132845
2021-05-24,-3.9640364042720533
2021-05-25,-2.8243738753484293
2021-05-26,-0.7041809320405656
2021-05-27,0.931187430799385
2021-05-28,0.7915401028285585
2021-05-31,2.899327780347516
2021-06-01,2.1078272854723856
2021-06-02,0.3525536721284972
2021-06-03,0.6291386826112966
2021-06-04,0.580645491204157
2021-06-07,1.9136812969905437
2021-06-08,1.1209983648067023
2021-06-09,3.3455531183367304
2021-06-10,4.436125735340157
2021-06-11,5.458920401990119
2021-06-15,3.6233733219330766
2021-06-16,1.1633679238833183
2021-06-17,3.7336461755503425
2021-06-18,4.029427967821575
2021-06-21,6.00743121873728
2021-06-22,4.61270750006082
2021-06-23,7.575685773432772
2021-06-24,5.656496900000452
2021-06-25,7.759829290584075
2021-06-28,7.653934755881053
2021-06-29,7.436679605650243
2021-06-30,9.36256751830793
2021-07-01,6.7820030662437025
2021-07-02,3.94883542377773
2021-07-05,3.0584277931442916
2021-07-06,2.5209935160568353
2021-07-07,5.423302614196301
2021-07-08,7.297729554745169
2021-07-09,8.466367974761969
2021-07-12,12.48124523660974
2021-07-13,11.68350060232437
2021-07-14,11.209958045116997
2021-07-15,11.292698001428292
2021-07-16,10.720782432490594
2021-07-19,8.315750279073697
2021-07-20,9.664329714528153
2021-07-21,10.90257835311177
2021-07-22,10.398241925982354
2021-07-23,9.786997211673288
2021-07-26,9.446439497450033
2021-07-27,8.56694160339484
2021-07-28,6.236926511365426
2021-07-29,12.632288172456029
2021-07-30,15.200617831065056
2021-08-02,16.649398590964104
2021-08-03,13.891699753090814
2021-08-04,18.56262010613168
2021-08-05,20.75624831928082
2021-08-06,23.768504673963918
2021-08-09,23.29292051346512
2021-08-10,20.715353988641596
2021-08-11,20.665520876472044
2021-08-12,19.563015609308863
2021-08-13,17.070017501713686
